Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
R841,,,,,82.55,,,,
R842,,,,,384.75,,,,
R843,,,,,101,,,,
R844,,,,,353.8,,,,
R845,,,,,341.55,,,,
R846,,,,,691.4,,,,
R847,,,,,195.85,,,,
R848,,,,,219.15,,,,
R851,,,,,482.7,,,,
R852,,,,,352.5,,,,
R853,,,,,154.4,,,,
R854,,,,,63.1,,,,
R855,,,,,559.2,,,,
R856,,,,,818.8,,,,
R857,,,,,730.7,,,,
R858,,,,,918.35,,,,
R859,,,,,344,,,,
R860,,,,,898.55,,,,
R861,,,,,876.85,,,,
R862,,,,,834.3,,,,
R863,,,,,2070.6,,,,
R864,,,,,893.2,,,,
R865,,,,,1259.55,,,,
R866,,,,,549.65,,,,
R867,,,,,490,,,,
R868,,,,,200,,,,
R869,,,,,107.5,,,,
R870,,,,,1443.05,,,,
R872,,,,,481.4,,,,
R873,,,,,68.2,,,,
R874,,,,,2565.3,,,,
R875,,,,,1396.9,,,,
R876,,,,,2144.95,,,,
R877,,,,,2116.9,,,,
R878,,,,,759.6,,,,
R879,,,,,759.6,,,,
R880,,,,,,,,,
R881,,,,,,,,,
R882,,,,,,,,,
R883,,,,,,,,,
R885,,,,,256.1,,,,
R905,,,,,493.9,,,,
R907,,,,,408.65,,,,
R910,,,,,568.7,,,,
R912,,,,,489.3,,,,
R913,,,,,367.95,,,,
R914,,,,,207.3,,,,
R915,,,,,1120.8,,,,
R916,,,,,207.3,,,,
R920,,,,,712.15,,,,
R921,,,,,1480.4,,,,
R922,,,,,1687.5,,,,
R923,,,,,1516.7,,,,
R924,,,,,1728.9,,,,
R925,,,,,1718.55,,,,
R926,,,,,1516.7,,,,
R927,,,,,960.4,,,,
R928,,,,,1064.55,,,,
R929,,,,,943.45,,,,
R930,,,,,837.7,,,,
R932,,,,,1200,,,,
R933,,,,,656.55,,,,
R934,,,,,867.35,,,,
R935,,,,,410.85,,,,
R936,,,,,954.1,,,,
R937,,,,,805.65,,,,
R940,,,,,2021.05,,,,
R941,,,,,350,,,,
R942,,,,,250,,,,
R943,,,,,400,,,,
R944,,,,,650,,,,
R945,,,,,975.5,,,,
R946,,,,,975.5,,,,
R950,,,,,291.4,,,,
R951,,,,,638.4,,,,
R952,,,,,798.1,,,,
R953,,,,,655.15,,,,
R954,,,,,763.8,,,,
R956,,,,,291.4,,,,
R957,,,,,510.35,,,,
R958,,,,,638.4,,,,
R959,,,,,655.15,,,,
R960,,,,,763.8,,,,
R961,,,,,438,,,,
R962,,,,,655.15,,,,
R963,,,,,638.4,,,,
R964,,,,,798.1,,,,
R965,,,,,655.15,,,,
R966,,,,,763.8,,,,
R967,,,,,291.4,,,,
R968,,,,,546.55,,,,
R969,,,,,763.8,,,,
R970,,,,,291.4,,,,
R971,,,,,510.35,,,,
R972,,,,,638.4,,,,
R973,,,,,634.7,,,,
R974,,,,,763.8,,,,
R975,,,,,438,,,,
R976,,,,,655.15,,,,
R977,,,,,583.75,,,,
R978,,,,,729.45,,,,
R979,,,,,911.3,,,,
R990,,,,,,,,,
R993,,,,,,,,,
S002,,,,,907.05,,,,
S003,,,,,354.5,,,,
S004,,,,,165.8,,,,
S005,,,,,1030.7,,,,
S006,,,,,431.15,,,,
S007,,,,,1059.45,,,,
S010,,,,,275,,,,
S011,,,,,98.45,,,,
S012,,,,,225,,,,
S013,,,,,363.3,,,,
S014,,,,,444.4,,,,
S015,,,,,,,,,
S018,,,,,197.45,,,,
S020,,,,,197.45,,,,
S021,,,,,,,,,
S023,,,,,24.9,,,,
S024,,,,,197.45,,,,
S028,,,,,98.8,,,,
S030,,,,,197.45,,,,
S031,,,,,197.55,,,,
S032,,,,,335.65,,,,
S033,,,,,281.95,,,,
S034,,,,,369.25,,,,
S035,,,,,41.25,,,,
S036,,,,,239.75,,,,
S042,,,,,391.05,,,,
S043,,,,,885.75,,,,
S044,,,,,593,,,,
S045,,,,,752.1,,,,
S047,,,,,774.5,,,,
S049,,,,,202.25,,,,
S050,,,,,148.6,,,,
S057,,,,,360.75,,,,
S058,,,,,306.85,,,,
S059,,,,,435.3,,,,
S061,,,,,340.15,,,,
S062,,,,,410.4,,,,
S063,,,,,178.35,,,,
S065,,,,,101.25,,,,
S066,,,,,121.05,,,,
S067,,,,,1017.2,,,,
S068,,,,,1155.45,,,,
S069,,,,,360.45,,,,
S073,,,,,,,,,
S074,,,,,,,,,
S075,,,,,,,,,
S079,,,,,1200,,,,
S080,,,,,898.15,,,,
S081,,,,,558.05,,,,
S082,,,,,410.55,,,,
S083,,,,,304.2,,,,
S084,,,,,212.35,,,,
S085,,,,,304.2,,,,
S086,,,,,300,,,,
S087,,,,,507,,,,
S088,,,,,390.05,,,,
S089,,,,,1180.5,,,,
S090,,,,,1912.3,,,,
S091,,,,,750,,,,
S092,,,,,1100,,,,
S093,,,,,584.15,,,,
S095,,,,,676.05,,,,
S096,,,,,1200,,,,
S097,,,,,608.3,,,,
S098,,,,,912.6,,,,
S099,,,,,1264.05,,,,
S100,,,,,738.9,,,,
S103,,,,,923.05,,,,
S104,,,,,2203.2,,,,
S113,,,,,300,,,,
S114,,,,,820,,,,
S115,,,,,820,,,,
S116,,,,,406.85,,,,
S117,,,,,536.9,,,,
S118,,,,,467.85,,,,
S120,,,,,1350,,,,
S121,,,,,416.5,,,,
S122,,,,,520,,,,
S123,,,,,840,,,,
S124,,,,,503.1,,,,
S125,,,,,900,,,,
S128,,,,,1235,,,,
S129,,,,,910,,,,
S131,,,,,375.8,,,,
S132,,,,,406.85,,,,
S133,,,,,528.85,,,,
S134,,,,,406.85,,,,
S137,,,,,678.9,,,,
S138,,,,,345.85,,,,
S139,,,,,672.75,,,,
S140,,,,,574.4,,,,
S149,,,,,470.65,,,,
S150,,,,,406.85,,,,
S151,,,,,356.5,,,,
S152,,,,,1700,,,,
S154,,,,,406.85,,,,
S155,,,,,387.4,,,,
S156,,,,,406.85,,,,
S157,,,,,470.65,,,,
S158,,,,,387.4,,,,
S159,,,,,406.85,,,,
S160,,,,,470.65,,,,
S161,,,,,584.15,,,,
S162,,,,,528.85,,,,
S164,,,,,1015.15,,,,
S165,,,,,741.45,,,,
S166,,,,,899.85,,,,
S167,,,,,877.95,,,,
S168,,,,,1260.4,,,,
S169,,,,,1313.65,,,,
S170,,,,,2183.65,,,,
S171,,,,,1128.1,,,,
S172,,,,,2247.7,,,,
S173,,,,,1812,,,,
S174,,,,,533.8,,,,
S175,,,,,712.35,,,,
S176,,,,,894.85,,,,
S177,,,,,1055.25,,,,
S178,,,,,1512.75,,,,
S179,,,,,1512.75,,,,
S180,,,,,824.8,,,,
S181,,,,,131.75,,,,
S182,,,,,467.9,,,,
S183,,,,,314.8,,,,
S184,,,,,314.8,,,,
S185,,,,,504.7,,,,
S187,,,,,528.85,,,,
S188,,,,,770.55,,,,
S189,,,,,951.2,,,,
S191,,,,,951.2,,,,
S192,,,,,387.4,,,,
S193,,,,,793.5,,,,
S194,,,,,356.5,,,,
S195,,,,,305.05,,,,
S196,,,,,2748.75,,,,
S197,,,,,7934.35,,,,
S199,,,,,325.4,,,,
S201,,,,,964.5,,,,
S202,,,,,2748.75,,,,
S203,,,,,281.85,,,,
S204,,,,,239.2,,,,
S207,,,,,458.6,,,,
S209,,,,,208.15,,,,
S213,,,,,1204.5,,,,
S214,,,,,1524.2,,,,
S215,,,,,1107.5,,,,
S216,,,,,459.05,,,,
S217,,,,,1063.6,,,,
S218,,,,,1086.75,,,,
S222,,,,,474.35,,,,
S223,,,,,488.2,,,,
S225,,,,,239.2,,,,
S226,,,,,356.5,,,,
S227,,,,,688.75,,,,
S228,,,,,190.85,,,,
S229,,,,,355.45,,,,
S231,,,,,338.55,,,,
S233,,,,,394.25,,,,
S234,,,,,64.85,,,,
S236,,,,,203.05,,,,
S237,,,,,253.8,,,,
S241,,,,,88.2,,,,
S243,,,,,200,,,,
S247,,,,,260.15,,,,
S248,,,,,43.6,,,,
S249,,,,,291.05,,,,
S251,,,,,213.15,,,,
S253,,,,,1224,,,,
S256,,,,,142.4,,,,
S257,,,,,275.05,,,,
S258,,,,,275.05,,,,
S259,,,,,356.5,,,,
S260,,,,,1801,,,,
S265,,,,,4760.6,,,,
S266,,,,,5289.55,,,,
S267,,,,,1652.15,,,,
S268,,,,,604.95,,,,
S269,,,,,350.65,,,,
S270,,,,,1426.05,,,,
S271,,,,,1938.5,,,,
S272,,,,,387.4,,,,
S273,,,,,434.8,,,,
S274,,,,,964.5,,,,
S275,,,,,585.05,,,,
S276,,,,,610.2,,,,
S278,,,,,408.05,,,,
S280,,,,,844.65,,,,
S281,,,,,721.7,,,,
S282,,,,,447.45,,,,
S283,,,,,447.45,,,,
S285,,,,,915.3,,,,
S287,,,,,478,,,,
S291,,,,,406.85,,,,
S292,,,,,203.4,,,,
S293,,,,,,,,,
S294,,,,,2748.75,,,,
S295,,,,,3776.2,,,,
S297,,,,,406.85,,,,
S298,,,,,1270.2,,,,
S299,,,,,1250,,,,
S300,,,,,2457.35,,,,
S301,,,,,508.55,,,,
S302,,,,,679.5,,,,
S303,,,,,339.75,,,,
S304,,,,,813.6,,,,
S305,,,,,589.95,,,,
S306,,,,,589.95,,,,
S307,,,,,589.95,,,,
S308,,,,,2378.3,,,,
S309,,,,,986.05,,,,
S310,,,,,215.1,,,,
S311,,,,,232.5,,,,
S312,,,,,485.25,,,,
S313,,,,,370.95,,,,
S314,,,,,264.45,,,,
S315,,,,,215.1,,,,
S316,,,,,,,,,
S317,,,,,111.45,,,,
S318,,,,,500,,,,
S319,,,,,335.15,,,,
S320,,,,,58.15,,,,
S321,,,,,587.1,,,,
S322,,,,,487.5,,,,
S323,,,,,357.8,,,,
S325,,,,,305.05,,,,
S326,,,,,412.5,,,,
S328,,,,,458.4,,,,
S329,,,,,425,,,,
S330,,,,,660.5,,,,
S332,,,,,300,,,,
S333,,,,,222.75,,,,
S340,,,,,370.95,,,,
S342,,,,,239.2,,,,
S343,,,,,350,,,,
S344,,,,,500,,,,
S345,,,,,431.35,,,,
S346,,,,,1300.55,,,,
S347,,,,,472.15,,,,
S348,,,,,1112.35,,,,
S349,,,,,1408.35,,,,
S400,,,,,404.95,,,,
S401,,,,,411.3,,,,
S402,,,,,267.6,,,,
S403,,,,,356.7,,,,
S405,,,,,482.4,,,,
S408,,,,,437.2,,,,
S410,,,,,512,,,,
S411,,,,,907,,,,
S412,,,,,467,,,,
S413,,,,,467,,,,
S415,,,,,522.5,,,,
S416,,,,,907,,,,
S420,,,,,673.1,,,,
S422,,,,,907,,,,
S423,,,,,757.85,,,,
S424,,,,,1237.25,,,,
S427,,,,,502.45,,,,
S428,,,,,494.9,,,,
S429,,,,,437.2,,,,
S430,,,,,657.75,,,,
S431,,,,,381.6,,,,
S432,,,,,260.85,,,,
S433,,,,,437.2,,,,
S434,,,,,1858.15,,,,
S435,,,,,1553.15,,,,
S436,,,,,653.2,,,,
S437,,,,,1161.6,,,,
S438,,,,,630,,,,
S440,,,,,1475.7,,,,
S441,,,,,1013.45,,,,
S445,,,,,376.8,,,,
S446,,,,,482.4,,,,
S447,,,,,437.2,,,,
S448,,,,,522.5,,,,
S449,,,,,445.4,,,,
S450,,,,,331.7,,,,
S451,,,,,490.25,,,,
S452,,,,,788.15,,,,
S453,,,,,1250.3,,,,
S454,,,,,893.5,,,,
S455,,,,,331.7,,,,
S457,,,,,552.3,,,,
S458,,,,,494.9,,,,
S459,,,,,557.85,,,,
S460,,,,,448,,,,
S461,,,,,331.7,,,,
S462,,,,,438.35,,,,
S463,,,,,381.6,,,,
S465,,,,,381.6,,,,
S466,,,,,437.2,,,,
S467,,,,,437.2,,,,
S468,,,,,482.4,,,,
S470,,,,,240.65,,,,
S471,,,,,296.3,,,,
S476,,,,,437.2,,,,
S478,,,,,215.8,,,,
S481,,,,,260.65,,,,
S482,,,,,381.6,,,,
S483,,,,,552.3,,,,
S484,,,,,791.85,,,,
S485,,,,,984.65,,,,
S488,,,,,215.8,,,,
S490,,,,,733.5,,,,
S491,,,,,657.75,,,,
S512,,,,,346.45,,,,
S513,,,,,692.85,,,,
S518,,,,,494.9,,,,
S519,,,,,437.2,,,,
S521,,,,,215.8,,,,
S522,,,,,260.85,,,,
S523,,,,,791.85,,,,
S524,,,,,544.4,,,,
S525,,,,,446.9,,,,
S530,,,,,215.8,,,,
S531,,,,,215.8,,,,
S532,,,,,166.05,,,,
S535,,,,,618.25,,,,
S536,,,,,118.8,,,,
S537,,,,,118.8,,,,
S538,,,,,95.75,,,,
S539,,,,,776.7,,,,
S540,,,,,239.75,,,,
S541,,,,,260.85,,,,
S542,,,,,331.7,,,,
S543,,,,,118.8,,,,
S544,,,,,296.95,,,,
S545,,,,,381.6,,,,
S546,,,,,496.25,,,,
S547,,,,,170.65,,,,
S548,,,,,381.6,,,,
S549,,,,,391.55,,,,
S550,,,,,293.35,,,,
S551,,,,,170.65,,,,
S552,,,,,437.2,,,,
S553,,,,,643.35,,,,
S554,,,,,92.1,,,,
S555,,,,,325.95,,,,
S556,,,,,552.3,,,,
S557,,,,,215.8,,,,
S558,,,,,235.35,,,,
S561,,,,,693.45,,,,
S562,,,,,539.5,,,,
S564,,,,,325.95,,,,
S566,,,,,239.75,,,,
S567,,,,,61.35,,,,
S568,,,,,62.45,,,,
S569,,,,,65.3,,,,
S571,,,,,614.4,,,,
S572,,,,,872.45,,,,
S573,,,,,210.8,,,,
S574,,,,,284.15,,,,
S575,,,,,437.2,,,,
S576,,,,,719.3,,,,
S577,,,,,188.05,,,,
S578,,,,,593.8,,,,
S579,,,,,215.8,,,,
S580,,,,,331.7,,,,
S581,,,,,296.95,,,,
S588,,,,,148.45,,,,
S589,,,,,170.65,,,,
S590,,,,,834.25,,,,
S591,,,,,433.95,,,,
S593,,,,,433.95,,,,
S595,,,,,418.55,,,,
S596,,,,,197.95,,,,
S597,,,,,395.9,,,,
S598,,,,,337.15,,,,
S599,,,,,286.2,,,,
S600,,,,,426.25,,,,
S601,,,,,207.85,,,,
S602,,,,,170.65,,,,
S611,,,,,207.85,,,,
S616,,,,,99,,,,
S618,,,,,215.8,,,,
S623,,,,,215.8,,,,
S625,,,,,260.85,,,,
S626,,,,,107.4,,,,
S630,,,,,205.35,,,,
S631,,,,,205.35,,,,
S636,,,,,552.3,,,,
S644,,,,,215.8,,,,
S645,,,,,574.6,,,,
S646,,,,,875,,,,
S647,,,,,643.35,,,,
S650,,,,,643.35,,,,
S651,,,,,1008.35,,,,
S652,,,,,431.2,,,,
S653,,,,,1411.7,,,,
S654,,,,,411.2,,,,
S655,,,,,450.6,,,,
S656,,,,,85.3,,,,
S701,,,,,115,,,,
S702,,,,,159.55,,,,
S703,,,,,257.05,,,,
S704,,,,,431.45,,,,
S706,,,,,129.85,,,,
S707,,,,,97.2,,,,
S708,,,,,,,,,
S709,,,,,374.85,,,,
S710,,,,,820.4,,,,
S712,,,,,115,,,,
S714,,,,,431.45,,,,
S715,,,,,140.45,,,,
S716,,,,,250.65,,,,
S717,,,,,396.8,,,,
S718,,,,,432.45,,,,
S719,,,,,366.55,,,,
S720,,,,,432.45,,,,
S721,,,,,432.45,,,,
S722,,,,,432.45,,,,
S723,,,,,305.9,,,,
S724,,,,,127.35,,,,
S725,,,,,300.35,,,,
S726,,,,,,,,,
S727,,,,,1081.8,,,,
S728,,,,,429.1,,,,
S729,,,,,560.95,,,,
S730,,,,,330.5,,,,
S731,,,,,557.95,,,,
S732,,,,,429.65,,,,
S733,,,,,429.65,,,,
S735,,,,,334.35,,,,
S736,,,,,359.55,,,,
S738,,,,,366.2,,,,
S739,,,,,434.55,,,,
S740,,,,,330.5,,,,
S741,,,,,155.7,,,,
S742,,,,,365.55,,,,
S743,,,,,657,,,,
S744,,,,,190.25,,,,
S745,,,,,366.2,,,,
S747,,,,,306.85,,,,
S748,,,,,686.7,,,,
S749,,,,,528.75,,,,
S750,,,,,797.45,,,,
S751,,,,,528.75,,,,
S752,,,,,112.4,,,,
S754,,,,,97.2,,,,
S756,,,,,120.45,,,,
S757,,,,,643.35,,,,
S758,,,,,733.45,,,,
S759,,,,,655.05,,,,
S760,,,,,432.45,,,,
S761,,,,,431.45,,,,
S762,,,,,801.1,,,,
S763,,,,,1081.8,,,,
S764,,,,,406.9,,,,
S765,,,,,206.3,,,,
S766,,,,,339.8,,,,
S767,,,,,339.8,,,,
S768,,,,,113.4,,,,
S770,,,,,245.4,,,,
S772,,,,,225.9,,,,
S774,,,,,142.5,,,,
S775,,,,,431.45,,,,
S776,,,,,462.3,,,,
S777,,,,,349,,,,
S778,,,,,349,,,,
S779,,,,,349,,,,
S780,,,,,257.05,,,,
S781,,,,,431.2,,,,
S782,,,,,410.4,,,,
S783,,,,,257.05,,,,
S784,,,,,382.1,,,,
S785,,,,,189.85,,,,
S786,,,,,82.25,,,,
S787,,,,,213.15,,,,
S788,,,,,777.3,,,,
S789,,,,,656.25,,,,
S790,,,,,525.15,,,,
S792,,,,,685,,,,
S793,,,,,650,,,,
S795,,,,,605.45,,,,
S796,,,,,687.6,,,,
S797,,,,,615.1,,,,
S798,,,,,646.3,,,,
S799,,,,,1032.7,,,,
S800,,,,,871.8,,,,
S811,,,,,829.4,,,,
S812,,,,,515.05,,,,
S813,,,,,515.05,,,,
S815,,,,,393.3,,,,
S816,,,,,643.35,,,,
S900,,,,,,,,,
U021,,,,Minor e-assessment,11,,,,
U023,,,,Repeat e-assessment,29,,,,
U025,,,,Initial e-assessment,44.45,,,,
U026,,,,Follow-up e-assessment,21.9,,,,
U231,,,,Minor e-assessment,15,,,,
U233,,,,Repeat e-assessment,43.3,,,,
U235,,,,Initial e-assessment,45.85,,,,
U236,,,,Follow-up e-assessment,28.95,,,,
U960,,,,,36.4,,,,
U961,,,,,36.4,,,,
U962,,,,,36.4,,,,
U963,,,,,36.4,,,,
U964,,,,,36.4,,,,
U990,,,,,20,,,,
U991,,,,,20,,,,
U992,,,,,40,,,,
U993,,,,,40,,,,
U994,,,,,60,,,,
U995,,,,,60,,,,
U996,,,,,100,,,,
U997,,,,,100,,,,
U998,,,,,75,,,,
U999,,,,,75,,,,
UVC,,,,,,,,,
W001,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
W002,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
W003,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
W004,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,38.35,,,,
W008,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
W010,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,115.25,,,,
W021,,,,,34.1,,,,
W022,,,,- first 4 subsequent visits per patient per month,34.1,,,,
W023,,,,- first 2 subsequent visits per patient per month,34.1,,,,
W025,,,,Consultation,147.3,,,,
W026,,,,Repeat consultation,44.45,,,,
W028,,,,,34.1,,,,
W031,,,,,34.1,,,,
W032,,,,,34.1,,,,
W033,,,,,34.1,,,,
W035,,,,Consultation,96.2,,,,
W036,,,,Repeat consultation,64.1,,,,
W038,,,,,34.1,,,,
W045,,,,Consultation,107,,,,
W046,,,,Repeat consultation,51.45,,,,
W050,,,,,144.75,,,,
W051,,,,,34.1,,,,
W052,,,,,34.1,,,,
W053,,,,,34.1,,,,
W054,,,,,20.6,,,,
W055,,,,Consultation,125.6,,,,
W056,,,,Repeat consultation,84.2,,,,
W058,,,,,34.1,,,,
W061,,,,,34.1,,,,
W062,,,,,34.1,,,,
W063,,,,,34.1,,,,
W065,,,,Consultation,83.85,,,,
W066,,,,Repeat consultation,51.7,,,,
W068,,,,,34.1,,,,
W071,,,,,34.1,,,,
W072,,,,,34.1,,,,
W073,,,,,34.1,,,,
W074,,,,,20.6,,,,
W075,,,,Consultation,232.1,,,,
W076,,,,Repeat consultation,105.25,,,,
W078,,,,,34.1,,,,
W085,,,,Consultation,91.35,,,,
W086,,,,Repeat consultation,54,,,,
W095,,,,Consultation,94.3,,,,
W096,,,,Repeat consultation,62.65,,,,
W102,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,69.35,,,,
W104,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,20.6,,,,
W105,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Consultation,87.75,,,,
W106,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Repeat consultation,45.9,,,,
W107,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,30.7,,,,
W109,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Periodic health visit,70.5,,,,
W113,,,,,93.95,,,,
W121,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
W130,,,,,310.45,,,,
W131,,,,,34.1,,,,
W132,,,,,34.1,,,,
W133,,,,,34.1,,,,
W134,,,,,20.6,,,,
W138,,,,,34.1,,,,
W150,,,,,310.45,,,,
W151,,,,,34.1,,,,
W152,,,,,34.1,,,,
W153,,,,,34.1,,,,
W154,,,,,20.6,,,,
W155,,,,Consultation,165.3,,,,
W156,,,,Repeat consultation,105.25,,,,
W158,,,,,34.1,,,,
W160,,,,,310.45,,,,
W161,,,,,34.1,,,,
W162,,,,- first 4 subsequent visits per patient per month,34.1,,,,
W163,,,,- first 2 subsequent visits per patient per month,34.1,,,,
W164,,,,,20.6,,,,
W165,,,,Consultation,162.9,,,,
W166,,,,Repeat consultation,105.25,,,,
W168,,,,,34.1,,,,
W171,,,,,34.1,,,,
W172,,,,,34.1,,,,
W173,,,,,34.1,,,,
W175,,,,Consultation,107.45,,,,
W176,,,,Repeat consultation,60,,,,
W178,,,,,34.1,,,,
W180,,,,,310.45,,,,
W181,,,,,34.1,,,,
W182,,,,,34.1,,,,
W183,,,,,34.1,,,,
W184,,,,,20.6,,,,
W185,,,,Consultation,184.4,,,,
W186,,,,Repeat consultation,87.7,,,,
W188,,,,,34.1,,,,
W190,,,,,310.45,,,,
W196,,,,Repeat consultation,105.25,,,,
W220,,,,,310.45,,,,
W221,,,,,34.1,,,,
W222,,,,,34.1,,,,
W223,,,,,401.3,,,,
W224,,,,,34.1,,,,
W225,,,,Consultation*,167.9,,,,
W226,,,,Repeat consultation,105.25,,,,
W228,,,,,34.1,,,,
W231,,,,,148.5,,,,
W232,,,,,69.35,,,,
W234,,,,,20.6,,,,
W235,,,,Consultation,164.9,,,,
W236,,,,Repeat consultation,105.25,,,,
W237,,,,,30.7,,,,
W239,,,,Periodic health visit,65.05,,,,
W252,,,,,69.35,,,,
W254,,,,,20.6,,,,
W255,,,,Limited consultation,105.25,,,,
W257,,,,,30.7,,,,
W259,,,,Periodic health visit,65.05,,,,
W260,,,,,310.45,,,,
W261,,,,,34.1,,,,
W262,,,,,34.1,,,,
W265,,,,Consultation,181.45,,,,
W266,,,,Repeat consultation,82.9,,,,
W269,,,,Periodic health visit,30.7,,,,
W272,,,,,69.35,,,,
W274,,,,,20.6,,,,
W275,,,,Limited consultation,105.25,,,,
W277,,,,,30.7,,,,
W279,,,,Periodic health visit,65.05,,,,
W292,,,,Admission assessment - Type 1,69.35,,,,
W294,,,,Admission assessment - Type 2,20.6,,,,
W297,,,,Admission assessment - Type 3,30.7,,,,
W299,,,,Periodic health visit,65.05,,,,
W305,,,,Consultation*,111.7,,,,
W306,,,,Repeat consultation*,59.45,,,,
W310,,,,Limited consultation,95.25,,,,
W311,,,,,34.1,,,,
W312,,,,,34.1,,,,
W313,,,,,34.1,,,,
W314,,,,General r e-assessment of patient in nursing home*,20.6,,,,
W318,,,,,34.1,,,,
W325,,,,Limited consultation,105.25,,,,
W345,,,,Consultation,83.95,,,,
W346,,,,Repeat consultation,48.85,,,,
W355,,,,Consultation*,84.7,,,,
W356,,,,Repeat consultation*,59,,,,
W375,,,,Limited consultation,105.25,,,,
W385,,,,Limited consultation,87.7,,,,
W395,,,,Limited consultation,105.25,,,,
W400,,,,,240.55,,,,
W402,,,,,69.35,,,,
W404,,,,,20.6,,,,
W405,,,,Limited consultation,84.2,,,,
W407,,,,,30.7,,,,
W409,,,,Periodic health visit,65.05,,,,
W419,,,,Periodic health visit,65.05,,,,
W425,,,,,310.45,,,,
W435,,,,Limited consultation,105.25,,,,
W441,,,,,34.1,,,,
W442,,,,,34.1,,,,
W443,,,,,34.1,,,,
W444,,,,,20.6,,,,
W445,,,,Consultation,166.5,,,,
W446,,,,Repeat consultation,105.25,,,,
W448,,,,,34.1,,,,
W460,,,,,310.45,,,,
W461,,,,,34.1,,,,
W462,,,,Subsequent visits (see General Preamble GP49) - first 4 subsequent visits per patient per month,34.1,,,,
W463,,,,Subsequent visits (see General Preamble GP49) - first 2 subsequent visits per patient per month,34.1,,,,
W464,,,,,20.6,,,,
W465,,,,Consultation,181.65,,,,
W466,,,,Repeat consultation,109.4,,,,
W468,,,,,34.1,,,,
W510,,,,,93.7,,,,
W511,,,,,102.55,,,,
W512,,,,,69.35,,,,
W514,,,,,20.6,,,,
W515,,,,Consultation,208.75,,,,
W516,,,,Repeat consultation,95.25,,,,
W517,,,,,30.7,,,,
W535,,,,Consultation,82.2,,,,
W536,,,,Repeat consultation,45.85,,,,
W562,,,,,69.35,,,,
W564,,,,,20.6,,,,
W565,,,,Limited consultation,91.35,,,,
W567,,,,,30.7,,,,
W645,,,,Consultation,98.55,,,,
W646,,,,Repeat consultation,60,,,,
W662,,,,,401.3,,,,
W667,,,,,401.3,,,,
W682,,,,,401.3,,,,
W695,,,,,414.35,,,,
W760,,,,,90.75,,,,
W765,,,,Consultation,167,,,,
W770,,,,,401.3,,,,
W771,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Certification of death - subject to same conditions as A771,20.6,,,,
W775,,,,,310.45,,,,
W777,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,37.95,,,,
W795,,,,,310.45,,,,
W842,,,,,69.35,,,,
W844,,,,,20.6,,,,
W845,,,,Limited consultation,105.25,,,,
W847,,,,,30.7,,,,
W849,,,,Periodic health visit,65.05,,,,
W862,,,,Admission assessment - Type 1,69.35,,,,
W864,,,,Admission assessment - Type 2,20.6,,,,
W865,,,,Limited consultation,105.25,,,,
W867,,,,Admission assessment - Type 3,30.7,,,,
W869,,,,Periodic health visit,65.05,,,,
W872,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
W882,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,34.1,,,,
W895,,,,Consultation,259.9,,,,
W903,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,65.05,,,,
W904,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,Pre-dental/pre-operative assessment,33.7,,,,
W911,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,150.7,,,,
W912,CONSULTATIONS AND VISITS,FAMILY PRACTICE & PRACTICE IN GENERAL (00),,,226.05,,,,
W930,,,,,150,,,,
W960,,,,,36.4,,,,
W961,,,,,36.4,,,,
W962,,,,,36.4,,,,
W963,,,,,36.4,,,,
W964,,,,,36.4,,,,
